"Year","Province","Normalization","Measure","Value"
1967,"Saskatchewan","Per Capita ($)","Balance",-155.53235908142
1968,"Saskatchewan","Per Capita ($)","Balance",-189.386056191467
1969,"Saskatchewan","Per Capita ($)","Balance",-225.469728601253
1970,"Saskatchewan","Per Capita ($)","Balance",-313.829787234042
1971,"Saskatchewan","Per Capita ($)","Balance",-365.864911087316
1972,"Saskatchewan","Per Capita ($)","Balance",-439.844479680271
1973,"Saskatchewan","Per Capita ($)","Balance",-412.309183638782
1974,"Saskatchewan","Per Capita ($)","Balance",-140.898248348573
1975,"Saskatchewan","Per Capita ($)","Balance",-264.874675038014
1976,"Saskatchewan","Per Capita ($)","Balance",-193.213483724984
1977,"Saskatchewan","Per Capita ($)","Balance",-371.577595670645
1978,"Saskatchewan","Per Capita ($)","Balance",-681.414907132283
1979,"Saskatchewan","Per Capita ($)","Balance",-583.49440210058
1980,"Saskatchewan","Per Capita ($)","Balance",-293.525489174697
1981,"Saskatchewan","Per Capita ($)","Balance",60.4657502518553
1982,"Saskatchewan","Per Capita ($)","Balance",-656.813118423
1983,"Saskatchewan","Per Capita ($)","Balance",-1194.50805943377
1984,"Saskatchewan","Per Capita ($)","Balance",-1819.40933260399
1985,"Saskatchewan","Per Capita ($)","Balance",-2259.67092322583
1986,"Saskatchewan","Per Capita ($)","Balance",-2796.68752436287
1987,"Saskatchewan","Per Capita ($)","Balance",-3099.34459657688
1988,"Saskatchewan","Per Capita ($)","Balance",-3042.13571932213
1989,"Saskatchewan","Per Capita ($)","Balance",-2811.35016415891
1990,"Saskatchewan","Per Capita ($)","Balance",-3214.16415358525
1991,"Saskatchewan","Per Capita ($)","Balance",-3386.81158018296
1992,"Saskatchewan","Per Capita ($)","Balance",-3302.80529285504
1993,"Saskatchewan","Per Capita ($)","Balance",-3151.25633131393
1994,"Saskatchewan","Per Capita ($)","Balance",-2885.37255775945
1995,"Saskatchewan","Per Capita ($)","Balance",-2410.79800865126
1996,"Saskatchewan","Per Capita ($)","Balance",-2236.62709959811
1997,"Saskatchewan","Per Capita ($)","Balance",-1642.59427724869
1998,"Saskatchewan","Per Capita ($)","Balance",-1730.01537354571
1999,"Saskatchewan","Per Capita ($)","Balance",-2208.91767962118
2000,"Saskatchewan","Per Capita ($)","Balance",-2024.68327105447
2001,"Saskatchewan","Per Capita ($)","Balance",-2094.4994146399
2002,"Saskatchewan","Per Capita ($)","Balance",-1568.00664521818
2003,"Saskatchewan","Per Capita ($)","Balance",-2073.49360589169
2004,"Saskatchewan","Per Capita ($)","Balance",-2691.31229550689
2005,"Saskatchewan","Per Capita ($)","Balance",-2346.25062908908
2006,"Saskatchewan","Per Capita ($)","Balance",-1929.83269408675
2007,"Saskatchewan","Per Capita ($)","Balance",-981.951648860477
2008,"Saskatchewan","Per Capita ($)","Balance",-548.454694496975
2009,"Saskatchewan","Per Capita ($)","Balance",-229.02555905912
2010,"Saskatchewan","Per Capita ($)","Balance",-572.546490870167
2011,"Saskatchewan","Per Capita ($)","Balance",79.7353910692618
2012,"Saskatchewan","Per Capita ($)","Balance",379.237004673567
2013,"Saskatchewan","Per Capita ($)","Balance",1051.1613696378
2014,"Saskatchewan","Per Capita ($)","Balance",1522.93978592588
2015,"Saskatchewan","Per Capita ($)","Balance",1377.38220661268
2016,"Saskatchewan","Per Capita ($)","Balance",594.196940634005
2017,"Saskatchewan","Per Capita ($)","Balance",45.2043803044526
2018,"Saskatchewan","Per Capita ($)","Balance",378.733429336518
2019,"Saskatchewan","Per Capita ($)","Balance",-860.569784192297
2020,"Saskatchewan","Per Capita ($)","Balance",-6533.91227756059
2021,"Saskatchewan","Per Capita ($)","Balance",-2434.20824329894
2022,"Saskatchewan","Per Capita ($)","Balance",-960.827851955512
1961,"Territories","Per Capita ($)","Balance",-973.684210526316
1962,"Territories","Per Capita ($)","Balance",-1075
1963,"Territories","Per Capita ($)","Balance",-1097.56097560976
1964,"Territories","Per Capita ($)","Balance",-1309.52380952381
1965,"Territories","Per Capita ($)","Balance",-1119.04761904762
1966,"Territories","Per Capita ($)","Balance",-1023.25581395349
1967,"Territories","Per Capita ($)","Balance",-1090.90909090909
1968,"Territories","Per Capita ($)","Balance",-1065.21739130435
1969,"Territories","Per Capita ($)","Balance",-1085.10638297872
1970,"Territories","Per Capita ($)","Balance",-960
1971,"Territories","Per Capita ($)","Balance",-1065.19344996299
1972,"Territories","Per Capita ($)","Balance",-1493.70268527005
1973,"Territories","Per Capita ($)","Balance",-1243.9217460138
1974,"Territories","Per Capita ($)","Balance",-1061.09324758842
1975,"Territories","Per Capita ($)","Balance",-2331.79424618188
1976,"Territories","Per Capita ($)","Balance",-3310.11757657455
1977,"Territories","Per Capita ($)","Balance",-4078.21813238523
1978,"Territories","Per Capita ($)","Balance",-4296.92638225106
1979,"Territories","Per Capita ($)","Balance",-4437.3317814796
1980,"Territories","Per Capita ($)","Balance",-5748.28559903187
1981,"Territories","Per Capita ($)","Balance",-7363.87353774511
1982,"Territories","Per Capita ($)","Balance",-7594.69722563818
1983,"Territories","Per Capita ($)","Balance",-9284.63936364614
1984,"Territories","Per Capita ($)","Balance",-9927.99905572532
1985,"Territories","Per Capita ($)","Balance",-11872.6458312125
1986,"Territories","Per Capita ($)","Balance",-14213.2749965226
1987,"Territories","Per Capita ($)","Balance",-12005.2034937744
1988,"Territories","Per Capita ($)","Balance",-13387.984768742
1989,"Territories","Per Capita ($)","Balance",-14965.6962070314
1990,"Territories","Per Capita ($)","Balance",-15121.8726264184
1991,"Territories","Per Capita ($)","Balance",-17459.8045660676
1992,"Territories","Per Capita ($)","Balance",-14948.6377363801
1993,"Territories","Per Capita ($)","Balance",-17638.396858594
1994,"Territories","Per Capita ($)","Balance",-15643.9806061118
1995,"Territories","Per Capita ($)","Balance",-14372.4445545781
1996,"Territories","Per Capita ($)","Balance",-14636.0719455044
1997,"Territories","Per Capita ($)","Balance",-14873.2201478259
1998,"Territories","Per Capita ($)","Balance",-15164.1511736707
1999,"Territories","Per Capita ($)","Balance",-19472.1252404752
2000,"Territories","Per Capita ($)","Balance",-17244.3577315083
2001,"Territories","Per Capita ($)","Balance",-18489.75145255
2002,"Territories","Per Capita ($)","Balance",-13186.9875169795
2003,"Territories","Per Capita ($)","Balance",-19666.935632832
2004,"Territories","Per Capita ($)","Balance",-19451.7195893632
2005,"Territories","Per Capita ($)","Balance",-24829.3749585862
2006,"Territories","Per Capita ($)","Balance",-23563.9539260709
2007,"Territories","Per Capita ($)","Balance",-21580.11945472
2008,"Territories","Per Capita ($)","Balance",-24451.931508746
2009,"Territories","Per Capita ($)","Balance",-26451.3536224471
2010,"Territories","Per Capita ($)","Balance",-28264.9933023473
2011,"Territories","Per Capita ($)","Balance",-26947.9342569425
2012,"Territories","Per Capita ($)","Balance",-27960.6124622449
2013,"Territories","Per Capita ($)","Balance",-29750.2226295358
2014,"Territories","Per Capita ($)","Balance",-31079.0481400438
2015,"Territories","Per Capita ($)","Balance",-31794.9584089854
2016,"Territories","Per Capita ($)","Balance",-33219.3291226669
2017,"Territories","Per Capita ($)","Balance",-34150.7779789753
2018,"Territories","Per Capita ($)","Balance",-37535.4852276312
2019,"Territories","Per Capita ($)","Balance",-39256.4627591502
2020,"Territories","Per Capita ($)","Balance",-47044.9844472866
2021,"Territories","Per Capita ($)","Balance",-43365.6404113319
2022,"Territories","Per Capita ($)","Balance",-43850.0615763547
1961,"Alberta","Real Per Capita ($ 2020)","Balance",-685.321691834252
1962,"Alberta","Real Per Capita ($ 2020)","Balance",-824.197116904176
1963,"Alberta","Real Per Capita ($ 2020)","Balance",-774.265319365903
1964,"Alberta","Real Per Capita ($ 2020)","Balance",-560.515416474919
1965,"Alberta","Real Per Capita ($ 2020)","Balance",-390.764989662302
1966,"Alberta","Real Per Capita ($ 2020)","Balance",35.3856655290104
1967,"Alberta","Real Per Capita ($ 2020)","Balance",190.235833521442
1968,"Alberta","Real Per Capita ($ 2020)","Balance",242.277306357898
1969,"Alberta","Real Per Capita ($ 2020)","Balance",658.42958071456
1970,"Alberta","Real Per Capita ($ 2020)","Balance",620.30099540086
1971,"Alberta","Real Per Capita ($ 2020)","Balance",629.755964134967
1972,"Alberta","Real Per Capita ($ 2020)","Balance",652.065435866203
1973,"Alberta","Real Per Capita ($ 2020)","Balance",1451.92815475422
1974,"Alberta","Real Per Capita ($ 2020)","Balance",6545.15978616482
1975,"Alberta","Real Per Capita ($ 2020)","Balance",5998.76675773218
1976,"Alberta","Real Per Capita ($ 2020)","Balance",4764.75841571156
1977,"Alberta","Real Per Capita ($ 2020)","Balance",3868.83085086562
1978,"Alberta","Real Per Capita ($ 2020)","Balance",2772.15584745574
1979,"Alberta","Real Per Capita ($ 2020)","Balance",3662.89200683273
1980,"Alberta","Real Per Capita ($ 2020)","Balance",4116.99459270258
1981,"Alberta","Real Per Capita ($ 2020)","Balance",6912.74520136065
1982,"Alberta","Real Per Capita ($ 2020)","Balance",5580.65222814528
1983,"Alberta","Real Per Capita ($ 2020)","Balance",3173.66100958092
1984,"Alberta","Real Per Capita ($ 2020)","Balance",2190.80944222392
1985,"Alberta","Real Per Capita ($ 2020)","Balance",2228.83023011117
1986,"Alberta","Real Per Capita ($ 2020)","Balance",195.157640396057
1987,"Alberta","Real Per Capita ($ 2020)","Balance",-19.8947279775281
1988,"Alberta","Real Per Capita ($ 2020)","Balance",94.223964412952
1989,"Alberta","Real Per Capita ($ 2020)","Balance",-106.800968413543
1990,"Alberta","Real Per Capita ($ 2020)","Balance",137.009605419066
1991,"Alberta","Real Per Capita ($ 2020)","Balance",168.357741180515
1992,"Alberta","Real Per Capita ($ 2020)","Balance",74.5250452771936
1993,"Alberta","Real Per Capita ($ 2020)","Balance",614.547477401595
1994,"Alberta","Real Per Capita ($ 2020)","Balance",1008.03512901164
1995,"Alberta","Real Per Capita ($ 2020)","Balance",1168.98172575361
1996,"Alberta","Real Per Capita ($ 2020)","Balance",2107.03670296673
1997,"Alberta","Real Per Capita ($ 2020)","Balance",3559.27056515597
1998,"Alberta","Real Per Capita ($ 2020)","Balance",3895.32413282913
1999,"Alberta","Real Per Capita ($ 2020)","Balance",3746.03042177343
2000,"Alberta","Real Per Capita ($ 2020)","Balance",4673.6863699673
2001,"Alberta","Real Per Capita ($ 2020)","Balance",4762.74271382568
2002,"Alberta","Real Per Capita ($ 2020)","Balance",4835.0299783054
2003,"Alberta","Real Per Capita ($ 2020)","Balance",4435.92711992267
2004,"Alberta","Real Per Capita ($ 2020)","Balance",5159.52323857306
2005,"Alberta","Real Per Capita ($ 2020)","Balance",6392.50391757372
2006,"Alberta","Real Per Capita ($ 2020)","Balance",8328.02430731486
2007,"Alberta","Real Per Capita ($ 2020)","Balance",9943.85000759665
2008,"Alberta","Real Per Capita ($ 2020)","Balance",9660.07687704207
2009,"Alberta","Real Per Capita ($ 2020)","Balance",7562.92532744587
2010,"Alberta","Real Per Capita ($ 2020)","Balance",6887.30847821672
2011,"Alberta","Real Per Capita ($ 2020)","Balance",7107.29169502731
2012,"Alberta","Real Per Capita ($ 2020)","Balance",7339.18799160011
2013,"Alberta","Real Per Capita ($ 2020)","Balance",8430.20432657729
2014,"Alberta","Real Per Capita ($ 2020)","Balance",9163.27378474754
2015,"Alberta","Real Per Capita ($ 2020)","Balance",8376.7774312903
2016,"Alberta","Real Per Capita ($ 2020)","Balance",5637.71727996248
2017,"Alberta","Real Per Capita ($ 2020)","Balance",5145.62795015126
2018,"Alberta","Real Per Capita ($ 2020)","Balance",5735.36451554251
2019,"Alberta","Real Per Capita ($ 2020)","Balance",4762.98461114286
2020,"Alberta","Real Per Capita ($ 2020)","Balance",-3418.13681801503
2021,"Alberta","Real Per Capita ($ 2020)","Balance",1656.56297711618
2022,"Alberta","Real Per Capita ($ 2020)","Balance",4271.74242495946
1961,"British Columbia","Real Per Capita ($ 2020)","Balance",-513.394529786437
1962,"British Columbia","Real Per Capita ($ 2020)","Balance",-182.983696207128
1963,"British Columbia","Real Per Capita ($ 2020)","Balance",-60.6958565370662
1964,"British Columbia","Real Per Capita ($ 2020)","Balance",295.024390243902
1965,"British Columbia","Real Per Capita ($ 2020)","Balance",478.935698447893
1966,"British Columbia","Real Per Capita ($ 2020)","Balance",790.468085106382
1967,"British Columbia","Real Per Capita ($ 2020)","Balance",895.333616659583
1968,"British Columbia","Real Per Capita ($ 2020)","Balance",1042.40470079124
1969,"British Columbia","Real Per Capita ($ 2020)","Balance",1765.46502624107
1970,"British Columbia","Real Per Capita ($ 2020)","Balance",1270.46504863782
1971,"British Columbia","Real Per Capita ($ 2020)","Balance",1388.4646512246
1972,"British Columbia","Real Per Capita ($ 2020)","Balance",1361.57630663001
1973,"British Columbia","Real Per Capita ($ 2020)","Balance",2013.56079122188
1974,"British Columbia","Real Per Capita ($ 2020)","Balance",2008.264837991
1975,"British Columbia","Real Per Capita ($ 2020)","Balance",1005.39465117199
1976,"British Columbia","Real Per Capita ($ 2020)","Balance",993.875218081647
1977,"British Columbia","Real Per Capita ($ 2020)","Balance",350.151635110871
1978,"British Columbia","Real Per Capita ($ 2020)","Balance",-1.57969087229874
1979,"British Columbia","Real Per Capita ($ 2020)","Balance",394.276233492094
1980,"British Columbia","Real Per Capita ($ 2020)","Balance",742.121919632362
1981,"British Columbia","Real Per Capita ($ 2020)","Balance",963.94786360462
1982,"British Columbia","Real Per Capita ($ 2020)","Balance",-659.678496322389
1983,"British Columbia","Real Per Capita ($ 2020)","Balance",-1452.69404573874
1984,"British Columbia","Real Per Capita ($ 2020)","Balance",-2081.76109057206
1985,"British Columbia","Real Per Capita ($ 2020)","Balance",-2466.84935890218
1986,"British Columbia","Real Per Capita ($ 2020)","Balance",-1932.22877547775
1987,"British Columbia","Real Per Capita ($ 2020)","Balance",-1474.83874446064
1988,"British Columbia","Real Per Capita ($ 2020)","Balance",-1317.88927380288
1989,"British Columbia","Real Per Capita ($ 2020)","Balance",-1085.08110092452
1990,"British Columbia","Real Per Capita ($ 2020)","Balance",-850.604889776109
1991,"British Columbia","Real Per Capita ($ 2020)","Balance",-542.88110582894
1992,"British Columbia","Real Per Capita ($ 2020)","Balance",-232.991101827087
1993,"British Columbia","Real Per Capita ($ 2020)","Balance",-330.717667397149
1994,"British Columbia","Real Per Capita ($ 2020)","Balance",-13.4383094393432
1995,"British Columbia","Real Per Capita ($ 2020)","Balance",117.432682644866
1996,"British Columbia","Real Per Capita ($ 2020)","Balance",795.01134890407
1997,"British Columbia","Real Per Capita ($ 2020)","Balance",1336.41534258109
1998,"British Columbia","Real Per Capita ($ 2020)","Balance",1071.86798451247
1999,"British Columbia","Real Per Capita ($ 2020)","Balance",899.515200634202
2000,"British Columbia","Real Per Capita ($ 2020)","Balance",1401.18243160393
2001,"British Columbia","Real Per Capita ($ 2020)","Balance",1189.19645286982
2002,"British Columbia","Real Per Capita ($ 2020)","Balance",905.969032552595
2003,"British Columbia","Real Per Capita ($ 2020)","Balance",960.697930784326
2004,"British Columbia","Real Per Capita ($ 2020)","Balance",1237.47950713123
2005,"British Columbia","Real Per Capita ($ 2020)","Balance",1192.48258036261
2006,"British Columbia","Real Per Capita ($ 2020)","Balance",2062.91837693372
2007,"British Columbia","Real Per Capita ($ 2020)","Balance",2774.05843478894
2008,"British Columbia","Real Per Capita ($ 2020)","Balance",1932.27717963995
2009,"British Columbia","Real Per Capita ($ 2020)","Balance",738.376817674748
2010,"British Columbia","Real Per Capita ($ 2020)","Balance",-195.308242242755
2011,"British Columbia","Real Per Capita ($ 2020)","Balance",766.360616280004
2012,"British Columbia","Real Per Capita ($ 2020)","Balance",1258.78531592519
2013,"British Columbia","Real Per Capita ($ 2020)","Balance",1207.58222748097
2014,"British Columbia","Real Per Capita ($ 2020)","Balance",1606.85309057288
2015,"British Columbia","Real Per Capita ($ 2020)","Balance",1963.10470653414
2016,"British Columbia","Real Per Capita ($ 2020)","Balance",2115.59127764323
2017,"British Columbia","Real Per Capita ($ 2020)","Balance",2402.81270500888
2018,"British Columbia","Real Per Capita ($ 2020)","Balance",2980.35226757814
2019,"British Columbia","Real Per Capita ($ 2020)","Balance",2461.69182182345
2020,"British Columbia","Real Per Capita ($ 2020)","Balance",-3255.8284508607
2021,"British Columbia","Real Per Capita ($ 2020)","Balance",959.346159762361
2022,"British Columbia","Real Per Capita ($ 2020)","Balance",2894.54073487533
1961,"Manitoba","Real Per Capita ($ 2020)","Balance",-1335.55078634472
1962,"Manitoba","Real Per Capita ($ 2020)","Balance",-1461.42848512918
1963,"Manitoba","Real Per Capita ($ 2020)","Balance",-1344.43935926773
1964,"Manitoba","Real Per Capita ($ 2020)","Balance",-1075.60975609756
1965,"Manitoba","Real Per Capita ($ 2020)","Balance",-1184.45595854922
1966,"Manitoba","Real Per Capita ($ 2020)","Balance",-1166.35514018692
1967,"Manitoba","Real Per Capita ($ 2020)","Balance",-1152.51828247862
1968,"Manitoba","Real Per Capita ($ 2020)","Balance",-1026.00472813239
1969,"Manitoba","Real Per Capita ($ 2020)","Balance",-658.539999896299
1970,"Manitoba","Real Per Capita ($ 2020)","Balance",-1000.17539551689
1971,"Manitoba","Real Per Capita ($ 2020)","Balance",-1274.69591610444
1972,"Manitoba","Real Per Capita ($ 2020)","Balance",-1254.47555159425
1973,"Manitoba","Real Per Capita ($ 2020)","Balance",-1265.63659845097
1974,"Manitoba","Real Per Capita ($ 2020)","Balance",-810.496017895147
1975,"Manitoba","Real Per Capita ($ 2020)","Balance",-1653.19423266001
1976,"Manitoba","Real Per Capita ($ 2020)","Balance",-1823.57874755009
1977,"Manitoba","Real Per Capita ($ 2020)","Balance",-2893.37738066204
1978,"Manitoba","Real Per Capita ($ 2020)","Balance",-3484.68993187848
1979,"Manitoba","Real Per Capita ($ 2020)","Balance",-3830.02722526011
1980,"Manitoba","Real Per Capita ($ 2020)","Balance",-3816.94530655074
1981,"Manitoba","Real Per Capita ($ 2020)","Balance",-2878.90566188467
1982,"Manitoba","Real Per Capita ($ 2020)","Balance",-3667.83093196558
1983,"Manitoba","Real Per Capita ($ 2020)","Balance",-4118.17195330174
1984,"Manitoba","Real Per Capita ($ 2020)","Balance",-4835.01536819229
1985,"Manitoba","Real Per Capita ($ 2020)","Balance",-5298.86974073783
1986,"Manitoba","Real Per Capita ($ 2020)","Balance",-4850.25438829188
1987,"Manitoba","Real Per Capita ($ 2020)","Balance",-5162.68319124516
1988,"Manitoba","Real Per Capita ($ 2020)","Balance",-5578.00465703827
1989,"Manitoba","Real Per Capita ($ 2020)","Balance",-5548.8831539136
1990,"Manitoba","Real Per Capita ($ 2020)","Balance",-5535.77066371739
1991,"Manitoba","Real Per Capita ($ 2020)","Balance",-5723.7811280264
1992,"Manitoba","Real Per Capita ($ 2020)","Balance",-5145.91228995703
1993,"Manitoba","Real Per Capita ($ 2020)","Balance",-5297.7157042089
1994,"Manitoba","Real Per Capita ($ 2020)","Balance",-5599.66194342576
1995,"Manitoba","Real Per Capita ($ 2020)","Balance",-5480.05864515616
1996,"Manitoba","Real Per Capita ($ 2020)","Balance",-5047.49654707016
1997,"Manitoba","Real Per Capita ($ 2020)","Balance",-4044.03361505821
1998,"Manitoba","Real Per Capita ($ 2020)","Balance",-3773.71245563515
1999,"Manitoba","Real Per Capita ($ 2020)","Balance",-4164.16999783231
2000,"Manitoba","Real Per Capita ($ 2020)","Balance",-3907.99904926341
2001,"Manitoba","Real Per Capita ($ 2020)","Balance",-4123.31163987584
2002,"Manitoba","Real Per Capita ($ 2020)","Balance",-3907.18954248366
2003,"Manitoba","Real Per Capita ($ 2020)","Balance",-4369.74240715181
2004,"Manitoba","Real Per Capita ($ 2020)","Balance",-3770.21385787804
2005,"Manitoba","Real Per Capita ($ 2020)","Balance",-5027.43748271257
2006,"Manitoba","Real Per Capita ($ 2020)","Balance",-4572.53528761695
2007,"Manitoba","Real Per Capita ($ 2020)","Balance",-4106.52126871676
2008,"Manitoba","Real Per Capita ($ 2020)","Balance",-4594.65422403221
2009,"Manitoba","Real Per Capita ($ 2020)","Balance",-4995.57039427761
2010,"Manitoba","Real Per Capita ($ 2020)","Balance",-5242.31921798819
2011,"Manitoba","Real Per Capita ($ 2020)","Balance",-4593.82096165895
2012,"Manitoba","Real Per Capita ($ 2020)","Balance",-4051.29680243564
2013,"Manitoba","Real Per Capita ($ 2020)","Balance",-3535.24590075261
2014,"Manitoba","Real Per Capita ($ 2020)","Balance",-3031.88322118599
2015,"Manitoba","Real Per Capita ($ 2020)","Balance",-2896.53157171111
2016,"Manitoba","Real Per Capita ($ 2020)","Balance",-3188.24294273541
2017,"Manitoba","Real Per Capita ($ 2020)","Balance",-3474.73146323838
2018,"Manitoba","Real Per Capita ($ 2020)","Balance",-3034.60931925699
2019,"Manitoba","Real Per Capita ($ 2020)","Balance",-4405.00836052117
2020,"Manitoba","Real Per Capita ($ 2020)","Balance",-10217.5858385545
2021,"Manitoba","Real Per Capita ($ 2020)","Balance",-7292.11760829092
2022,"Manitoba","Real Per Capita ($ 2020)","Balance",-5293.69730695568
1961,"New Brunswick","Real Per Capita ($ 2020)","Balance",-2524.20701168614
1962,"New Brunswick","Real Per Capita ($ 2020)","Balance",-2609.2000623733
1963,"New Brunswick","Real Per Capita ($ 2020)","Balance",-2575.28378667809
1964,"New Brunswick","Real Per Capita ($ 2020)","Balance",-2560.9756097561
1965,"New Brunswick","Real Per Capita ($ 2020)","Balance",-2736.58536585366
1966,"New Brunswick","Real Per Capita ($ 2020)","Balance",-2688.62236628849
1967,"New Brunswick","Real Per Capita ($ 2020)","Balance",-3174.63367763632
1968,"New Brunswick","Real Per Capita ($ 2020)","Balance",-3109.10203249269
1969,"New Brunswick","Real Per Capita ($ 2020)","Balance",-2945.39105693686
1970,"New Brunswick","Real Per Capita ($ 2020)","Balance",-3024.37952998023
1971,"New Brunswick","Real Per Capita ($ 2020)","Balance",-3547.0109540215
1972,"New Brunswick","Real Per Capita ($ 2020)","Balance",-3799.14441548174
1973,"New Brunswick","Real Per Capita ($ 2020)","Balance",-4155.93881044162
1974,"New Brunswick","Real Per Capita ($ 2020)","Balance",-5208.91564248392
1975,"New Brunswick","Real Per Capita ($ 2020)","Balance",-6908.00169834493
1976,"New Brunswick","Real Per Capita ($ 2020)","Balance",-6811.42591383735
1977,"New Brunswick","Real Per Capita ($ 2020)","Balance",-7540.4940482264
1978,"New Brunswick","Real Per Capita ($ 2020)","Balance",-7895.97386513362
1979,"New Brunswick","Real Per Capita ($ 2020)","Balance",-7821.71290094118
1980,"New Brunswick","Real Per Capita ($ 2020)","Balance",-10554.0529598789
1981,"New Brunswick","Real Per Capita ($ 2020)","Balance",-8946.08521265071
1982,"New Brunswick","Real Per Capita ($ 2020)","Balance",-8981.0474955125
1983,"New Brunswick","Real Per Capita ($ 2020)","Balance",-7641.48977162128
1984,"New Brunswick","Real Per Capita ($ 2020)","Balance",-8276.56854358668
1985,"New Brunswick","Real Per Capita ($ 2020)","Balance",-8886.0991556602
1986,"New Brunswick","Real Per Capita ($ 2020)","Balance",-7842.73811629966
1987,"New Brunswick","Real Per Capita ($ 2020)","Balance",-7731.04318878552
1988,"New Brunswick","Real Per Capita ($ 2020)","Balance",-7859.36401868886
1989,"New Brunswick","Real Per Capita ($ 2020)","Balance",-8161.13448254122
1990,"New Brunswick","Real Per Capita ($ 2020)","Balance",-8528.22146373776
1991,"New Brunswick","Real Per Capita ($ 2020)","Balance",-7803.34033491056
1992,"New Brunswick","Real Per Capita ($ 2020)","Balance",-8209.36720129498
1993,"New Brunswick","Real Per Capita ($ 2020)","Balance",-7881.00687938293
1994,"New Brunswick","Real Per Capita ($ 2020)","Balance",-7678.6660223967
1995,"New Brunswick","Real Per Capita ($ 2020)","Balance",-7548.20801659079
1996,"New Brunswick","Real Per Capita ($ 2020)","Balance",-7119.50997192364
1997,"New Brunswick","Real Per Capita ($ 2020)","Balance",-6103.38886293644
1998,"New Brunswick","Real Per Capita ($ 2020)","Balance",-6323.96042174738
1999,"New Brunswick","Real Per Capita ($ 2020)","Balance",-6407.43816499
2000,"New Brunswick","Real Per Capita ($ 2020)","Balance",-5579.24837774092
2001,"New Brunswick","Real Per Capita ($ 2020)","Balance",-6222.6468094674
2002,"New Brunswick","Real Per Capita ($ 2020)","Balance",-5661.63667711097
2003,"New Brunswick","Real Per Capita ($ 2020)","Balance",-5852.33080882484
2004,"New Brunswick","Real Per Capita ($ 2020)","Balance",-5499.64147775665
2005,"New Brunswick","Real Per Capita ($ 2020)","Balance",-6777.75329205197
2006,"New Brunswick","Real Per Capita ($ 2020)","Balance",-6284.25906330349
2007,"New Brunswick","Real Per Capita ($ 2020)","Balance",-6383.39438301243
2008,"New Brunswick","Real Per Capita ($ 2020)","Balance",-6742.18488731865
2009,"New Brunswick","Real Per Capita ($ 2020)","Balance",-7571.01759293888
2010,"New Brunswick","Real Per Capita ($ 2020)","Balance",-8196.95497741315
2011,"New Brunswick","Real Per Capita ($ 2020)","Balance",-7642.68201327551
2012,"New Brunswick","Real Per Capita ($ 2020)","Balance",-7337.64251561987
2013,"New Brunswick","Real Per Capita ($ 2020)","Balance",-7120.9884487772
2014,"New Brunswick","Real Per Capita ($ 2020)","Balance",-6799.1138287013
2015,"New Brunswick","Real Per Capita ($ 2020)","Balance",-6866.76110423226
2016,"New Brunswick","Real Per Capita ($ 2020)","Balance",-7228.78556094049
2017,"New Brunswick","Real Per Capita ($ 2020)","Balance",-7488.35482115634
2018,"New Brunswick","Real Per Capita ($ 2020)","Balance",-7405.63716669513
2019,"New Brunswick","Real Per Capita ($ 2020)","Balance",-8160.18195503564
2020,"New Brunswick","Real Per Capita ($ 2020)","Balance",-13926.0716455264
2021,"New Brunswick","Real Per Capita ($ 2020)","Balance",-10425.3634759678
2022,"New Brunswick","Real Per Capita ($ 2020)","Balance",-8344.2007435402
1961,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-2391.90708130386
1962,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-2676.42917488032
1963,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-2539.78671041838
1964,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-2495.3638379359
1965,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-2950.81967213115
1966,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-2868.34008097166
1967,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-3424.97237569061
1968,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-3378.82412186831
1969,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-3681.08028189838
1970,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-3954.20050592464
1971,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-4469.96635898213
1972,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-4789.50480093887
1973,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-5131.89672990629
1974,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-6405.16689018175
1975,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-7570.12598039556
1976,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-6688.09649318583
1977,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-7896.02156547825
1978,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-8609.60494431074
1979,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-8115.98473885015
1980,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-8585.52438920447
1981,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-7746.50847412632
1982,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-8658.83014425527
